Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Year,States,States Code,Count
Brain and Other Nervous System,31010-31040,Female,F,2002,Delaware,10,25
Brain and Other Nervous System,31010-31040,Female,F,2002,Florida,12,629
Brain and Other Nervous System,31010-31040,Female,F,2002,Georgia,13,227
Brain and Other Nervous System,31010-31040,Female,F,2002,Hawaii,15,29
Brain and Other Nervous System,31010-31040,Female,F,2002,Idaho,16,45
Brain and Other Nervous System,31010-31040,Female,F,2002,Illinois,17,380
Brain and Other Nervous System,31010-31040,Female,F,2002,Indiana,18,201
Brain and Other Nervous System,31010-31040,Female,F,2002,Iowa,19,103
Brain and Other Nervous System,31010-31040,Female,F,2002,Kansas,20,70
Brain and Other Nervous System,31010-31040,Female,F,2002,Kentucky,21,138
Brain and Other Nervous System,31010-31040,Female,F,2002,Louisiana,22,91
Brain and Other Nervous System,31010-31040,Female,F,2002,Maine,23,51
Brain and Other Nervous System,31010-31040,Female,F,2002,Maryland,24,169
Brain and Other Nervous System,31010-31040,Female,F,2002,Massachusetts,25,217
Brain and Other Nervous System,31010-31040,Female,F,2002,Michigan,26,343
Brain and Other Nervous System,31010-31040,Female,F,2002,Minnesota,27,163
Brain and Other Nervous System,31010-31040,Female,F,2002,Missouri,29,205
Brain and Other Nervous System,31010-31040,Female,F,2002,Montana,30,37
Brain and Other Nervous System,31010-31040,Female,F,2002,Nebraska,31,49
Brain and Other Nervous System,31010-31040,Female,F,2002,Nevada,32,62
Brain and Other Nervous System,31010-31040,Female,F,2002,New Hampshire,33,38
Brain and Other Nervous System,31010-31040,Female,F,2002,New Jersey,34,264
Brain and Other Nervous System,31010-31040,Female,F,2002,New Mexico,35,44
Brain and Other Nervous System,31010-31040,Female,F,2002,New York,36,619
Brain and Other Nervous System,31010-31040,Female,F,2002,North Carolina,37,241
Brain and Other Nervous System,31010-31040,Female,F,2002,North Dakota,38,20
Brain and Other Nervous System,31010-31040,Female,F,2002,Ohio,39,362
Brain and Other Nervous System,31010-31040,Female,F,2002,Oklahoma,40,130
Brain and Other Nervous System,31010-31040,Female,F,2002,Oregon,41,111
Brain and Other Nervous System,31010-31040,Female,F,2002,Pennsylvania,42,461
Brain and Other Nervous System,31010-31040,Female,F,2002,Rhode Island,44,40
Brain and Other Nervous System,31010-31040,Female,F,2002,South Carolina,45,140
Brain and Other Nervous System,31010-31040,Female,F,2002,South Dakota,46,18
Brain and Other Nervous System,31010-31040,Female,F,2002,Tennessee,47,166
Brain and Other Nervous System,31010-31040,Female,F,2002,Texas,48,626
Brain and Other Nervous System,31010-31040,Female,F,2002,Utah,49,62
Brain and Other Nervous System,31010-31040,Female,F,2002,Vermont,50,17
Brain and Other Nervous System,31010-31040,Female,F,2002,Virginia,51,150
Brain and Other Nervous System,31010-31040,Female,F,2002,Washington,53,217
Brain and Other Nervous System,31010-31040,Female,F,2002,West Virginia,54,60
Brain and Other Nervous System,31010-31040,Female,F,2002,Wisconsin,55,168
Brain and Other Nervous System,31010-31040,Female,F,2003,Alabama,1,131
Brain and Other Nervous System,31010-31040,Female,F,2003,Arizona,4,147
Brain and Other Nervous System,31010-31040,Female,F,2003,Arkansas,5,82
Brain and Other Nervous System,31010-31040,Female,F,2003,California,6,978
Brain and Other Nervous System,31010-31040,Female,F,2003,Colorado,8,129
Brain and Other Nervous System,31010-31040,Female,F,2003,Connecticut,9,129
Brain and Other Nervous System,31010-31040,Female,F,2003,Delaware,10,19
Brain and Other Nervous System,31010-31040,Female,F,2003,Florida,12,574
Brain and Other Nervous System,31010-31040,Female,F,2003,Georgia,13,239
Brain and Other Nervous System,31010-31040,Female,F,2003,Hawaii,15,22
Brain and Other Nervous System,31010-31040,Female,F,2003,Idaho,16,45
Brain and Other Nervous System,31010-31040,Female,F,2003,Illinois,17,357
Brain and Other Nervous System,31010-31040,Female,F,2003,Indiana,18,194
Brain and Other Nervous System,31010-31040,Female,F,2003,Iowa,19,101
Brain and Other Nervous System,31010-31040,Female,F,2003,Kansas,20,95
Brain and Other Nervous System,31010-31040,Female,F,2003,Kentucky,21,134
Brain and Other Nervous System,31010-31040,Female,F,2003,Louisiana,22,123
Brain and Other Nervous System,31010-31040,Female,F,2003,Maine,23,47
Brain and Other Nervous System,31010-31040,Female,F,2003,Maryland,24,164
Brain and Other Nervous System,31010-31040,Female,F,2003,Massachusetts,25,234
Brain and Other Nervous System,31010-31040,Female,F,2003,Michigan,26,333
Brain and Other Nervous System,31010-31040,Female,F,2003,Minnesota,27,134
Brain and Other Nervous System,31010-31040,Female,F,2003,Mississippi,28,90
Brain and Other Nervous System,31010-31040,Female,F,2003,Missouri,29,171
Brain and Other Nervous System,31010-31040,Female,F,2003,Montana,30,31
Brain and Other Nervous System,31010-31040,Female,F,2003,Nebraska,31,45
Brain and Other Nervous System,31010-31040,Female,F,2003,Nevada,32,72
Brain and Other Nervous System,31010-31040,Female,F,2003,New Hampshire,33,40
Brain and Other Nervous System,31010-31040,Female,F,2003,New Jersey,34,294
Brain and Other Nervous System,31010-31040,Female,F,2003,New Mexico,35,40
Brain and Other Nervous System,31010-31040,Female,F,2003,New York,36,678
Brain and Other Nervous System,31010-31040,Female,F,2003,North Carolina,37,237
Brain and Other Nervous System,31010-31040,Female,F,2003,North Dakota,38,16
Brain and Other Nervous System,31010-31040,Female,F,2003,Ohio,39,386
Brain and Other Nervous System,31010-31040,Female,F,2003,Oklahoma,40,116
Brain and Other Nervous System,31010-31040,Female,F,2003,Oregon,41,132
Brain and Other Nervous System,31010-31040,Female,F,2003,Pennsylvania,42,445
Brain and Other Nervous System,31010-31040,Female,F,2003,Rhode Island,44,45
Brain and Other Nervous System,31010-31040,Female,F,2003,South Carolina,45,131
Brain and Other Nervous System,31010-31040,Female,F,2003,South Dakota,46,22
Brain and Other Nervous System,31010-31040,Female,F,2003,Tennessee,47,205
Brain and Other Nervous System,31010-31040,Female,F,2003,Texas,48,662
Brain and Other Nervous System,31010-31040,Female,F,2003,Utah,49,72
Brain and Other Nervous System,31010-31040,Female,F,2003,Vermont,50,16
Brain and Other Nervous System,31010-31040,Female,F,2003,Virginia,51,201
Brain and Other Nervous System,31010-31040,Female,F,2003,Washington,53,205
Brain and Other Nervous System,31010-31040,Female,F,2003,West Virginia,54,74
Brain and Other Nervous System,31010-31040,Female,F,2003,Wisconsin,55,182
Brain and Other Nervous System,31010-31040,Female,F,2003,Wyoming,56,18
Brain and Other Nervous System,31010-31040,Female,F,2004,Alabama,1,144
Brain and Other Nervous System,31010-31040,Female,F,2004,Arizona,4,197
Brain and Other Nervous System,31010-31040,Female,F,2004,Arkansas,5,72
Brain and Other Nervous System,31010-31040,Female,F,2004,California,6,916
Brain and Other Nervous System,31010-31040,Female,F,2004,Colorado,8,137
Brain and Other Nervous System,31010-31040,Female,F,2004,Connecticut,9,121
Brain and Other Nervous System,31010-31040,Female,F,2004,Delaware,10,29
Brain and Other Nervous System,31010-31040,Female,F,2004,Florida,12,635
Brain and Other Nervous System,31010-31040,Female,F,2004,Georgia,13,273
Brain and Other Nervous System,31010-31040,Female,F,2004,Hawaii,15,26
Brain and Other Nervous System,31010-31040,Female,F,2004,Idaho,16,49
Brain and Other Nervous System,31010-31040,Female,F,2004,Illinois,17,412
Brain and Other Nervous System,31010-31040,Female,F,2004,Indiana,18,201
Brain and Other Nervous System,31010-31040,Female,F,2004,Iowa,19,108
Brain and Other Nervous System,31010-31040,Female,F,2004,Kansas,20,79
Brain and Other Nervous System,31010-31040,Female,F,2004,Kentucky,21,141
Brain and Other Nervous System,31010-31040,Female,F,2004,Louisiana,22,113
Brain and Other Nervous System,31010-31040,Female,F,2004,Maine,23,61
Brain and Other Nervous System,31010-31040,Female,F,2004,Maryland,24,192
Brain and Other Nervous System,31010-31040,Female,F,2004,Massachusetts,25,194
Brain and Other Nervous System,31010-31040,Female,F,2004,Michigan,26,351
Brain and Other Nervous System,31010-31040,Female,F,2004,Minnesota,27,134
Brain and Other Nervous System,31010-31040,Female,F,2004,Mississippi,28,90
Brain and Other Nervous System,31010-31040,Female,F,2004,Missouri,29,201
Brain and Other Nervous System,31010-31040,Female,F,2004,Montana,30,31
Brain and Other Nervous System,31010-31040,Female,F,2004,Nebraska,31,54
Brain and Other Nervous System,31010-31040,Female,F,2004,Nevada,32,75
Brain and Other Nervous System,31010-31040,Female,F,2004,New Hampshire,33,50
Brain and Other Nervous System,31010-31040,Female,F,2004,New Jersey,34,342
Brain and Other Nervous System,31010-31040,Female,F,2004,New Mexico,35,48
Brain and Other Nervous System,31010-31040,Female,F,2004,New York,36,596
Brain and Other Nervous System,31010-31040,Female,F,2004,North Carolina,37,281
Brain and Other Nervous System,31010-31040,Female,F,2004,North Dakota,38,23
Brain and Other Nervous System,31010-31040,Female,F,2004,Ohio,39,386
Brain and Other Nervous System,31010-31040,Female,F,2004,Oklahoma,40,122
Brain and Other Nervous System,31010-31040,Female,F,2004,Oregon,41,120
Brain and Other Nervous System,31010-31040,Female,F,2004,Pennsylvania,42,449
Brain and Other Nervous System,31010-31040,Female,F,2004,Rhode Island,44,38
Brain and Other Nervous System,31010-31040,Female,F,2004,South Carolina,45,127
Brain and Other Nervous System,31010-31040,Female,F,2004,South Dakota,46,21
Brain and Other Nervous System,31010-31040,Female,F,2004,Tennessee,47,204
Brain and Other Nervous System,31010-31040,Female,F,2004,Texas,48,676
Brain and Other Nervous System,31010-31040,Female,F,2004,Utah,49,79
Brain and Other Nervous System,31010-31040,Female,F,2004,Virginia,51,233
Brain and Other Nervous System,31010-31040,Female,F,2004,Washington,53,205
Brain and Other Nervous System,31010-31040,Female,F,2004,West Virginia,54,79
Brain and Other Nervous System,31010-31040,Female,F,2004,Wisconsin,55,178
Brain and Other Nervous System,31010-31040,Female,F,2004,Wyoming,56,18
Brain and Other Nervous System,31010-31040,Female,F,2005,Alabama,1,140
Brain and Other Nervous System,31010-31040,Female,F,2005,Alaska,2,19
Brain and Other Nervous System,31010-31040,Female,F,2005,Arizona,4,194
Brain and Other Nervous System,31010-31040,Female,F,2005,Arkansas,5,97
Brain and Other Nervous System,31010-31040,Female,F,2005,California,6,977
Brain and Other Nervous System,31010-31040,Female,F,2005,Colorado,8,146
Brain and Other Nervous System,31010-31040,Female,F,2005,Connecticut,9,130
Brain and Other Nervous System,31010-31040,Female,F,2005,Delaware,10,27
Brain and Other Nervous System,31010-31040,Female,F,2005,District of Columbia,11,21
Brain and Other Nervous System,31010-31040,Female,F,2005,Florida,12,641
Brain and Other Nervous System,31010-31040,Female,F,2005,Georgia,13,247
Brain and Other Nervous System,31010-31040,Female,F,2005,Hawaii,15,29
Brain and Other Nervous System,31010-31040,Female,F,2005,Idaho,16,65
Brain and Other Nervous System,31010-31040,Female,F,2005,Illinois,17,370
Brain and Other Nervous System,31010-31040,Female,F,2005,Indiana,18,216
Brain and Other Nervous System,31010-31040,Female,F,2005,Iowa,19,123
Brain and Other Nervous System,31010-31040,Female,F,2005,Kansas,20,86
Brain and Other Nervous System,31010-31040,Female,F,2005,Kentucky,21,121
Brain and Other Nervous System,31010-31040,Female,F,2005,Louisiana,22,106
Brain and Other Nervous System,31010-31040,Female,F,2005,Maine,23,38
Brain and Other Nervous System,31010-31040,Female,F,2005,Maryland,24,158
Brain and Other Nervous System,31010-31040,Female,F,2005,Massachusetts,25,212
Brain and Other Nervous System,31010-31040,Female,F,2005,Michigan,26,370
Brain and Other Nervous System,31010-31040,Female,F,2005,Minnesota,27,120
Brain and Other Nervous System,31010-31040,Female,F,2005,Mississippi,28,91
Brain and Other Nervous System,31010-31040,Female,F,2005,Missouri,29,223
Brain and Other Nervous System,31010-31040,Female,F,2005,Montana,30,38
Brain and Other Nervous System,31010-31040,Female,F,2005,Nebraska,31,73
Brain and Other Nervous System,31010-31040,Female,F,2005,Nevada,32,60
Brain and Other Nervous System,31010-31040,Female,F,2005,New Hampshire,33,37
Brain and Other Nervous System,31010-31040,Female,F,2005,New Jersey,34,282
Brain and Other Nervous System,31010-31040,Female,F,2005,New Mexico,35,51
Brain and Other Nervous System,31010-31040,Female,F,2005,New York,36,602
Brain and Other Nervous System,31010-31040,Female,F,2005,North Carolina,37,291
Brain and Other Nervous System,31010-31040,Female,F,2005,North Dakota,38,26
Brain and Other Nervous System,31010-31040,Female,F,2005,Ohio,39,411
Brain and Other Nervous System,31010-31040,Female,F,2005,Oklahoma,40,133
Brain and Other Nervous System,31010-31040,Female,F,2005,Oregon,41,134
Brain and Other Nervous System,31010-31040,Female,F,2005,Pennsylvania,42,447
Brain and Other Nervous System,31010-31040,Female,F,2005,Rhode Island,44,38
Brain and Other Nervous System,31010-31040,Female,F,2005,South Carolina,45,147
Brain and Other Nervous System,31010-31040,Female,F,2005,South Dakota,46,21
Brain and Other Nervous System,31010-31040,Female,F,2005,Tennessee,47,183
Brain and Other Nervous System,31010-31040,Female,F,2005,Texas,48,647
Brain and Other Nervous System,31010-31040,Female,F,2005,Utah,49,74
Brain and Other Nervous System,31010-31040,Female,F,2005,Vermont,50,27
Brain and Other Nervous System,31010-31040,Female,F,2005,Virginia,51,215
Brain and Other Nervous System,31010-31040,Female,F,2005,Washington,53,213
Brain and Other Nervous System,31010-31040,Female,F,2005,West Virginia,54,66
Brain and Other Nervous System,31010-31040,Female,F,2005,Wisconsin,55,203
Brain and Other Nervous System,31010-31040,Female,F,2006,Alabama,1,164
Brain and Other Nervous System,31010-31040,Female,F,2006,Arizona,4,190
Brain and Other Nervous System,31010-31040,Female,F,2006,Arkansas,5,85
Brain and Other Nervous System,31010-31040,Female,F,2006,California,6,919
Brain and Other Nervous System,31010-31040,Female,F,2006,Colorado,8,156
Brain and Other Nervous System,31010-31040,Female,F,2006,Connecticut,9,127
Brain and Other Nervous System,31010-31040,Female,F,2006,Delaware,10,26
Brain and Other Nervous System,31010-31040,Female,F,2006,Florida,12,629
Brain and Other Nervous System,31010-31040,Female,F,2006,Georgia,13,266
Brain and Other Nervous System,31010-31040,Female,F,2006,Hawaii,15,27
Brain and Other Nervous System,31010-31040,Female,F,2006,Idaho,16,41
Brain and Other Nervous System,31010-31040,Female,F,2006,Illinois,17,404
Brain and Other Nervous System,31010-31040,Female,F,2006,Indiana,18,233
Brain and Other Nervous System,31010-31040,Female,F,2006,Iowa,19,94
Brain and Other Nervous System,31010-31040,Female,F,2006,Kansas,20,74
Brain and Other Nervous System,31010-31040,Female,F,2006,Kentucky,21,127
Brain and Other Nervous System,31010-31040,Female,F,2006,Louisiana,22,129
Brain and Other Nervous System,31010-31040,Female,F,2006,Maine,23,51
Brain and Other Nervous System,31010-31040,Female,F,2006,Maryland,24,172
Brain and Other Nervous System,31010-31040,Female,F,2006,Massachusetts,25,247
Brain and Other Nervous System,31010-31040,Female,F,2006,Michigan,26,333
Brain and Other Nervous System,31010-31040,Female,F,2006,Minnesota,27,160
Brain and Other Nervous System,31010-31040,Female,F,2006,Mississippi,28,91
Brain and Other Nervous System,31010-31040,Female,F,2006,Missouri,29,185
Brain and Other Nervous System,31010-31040,Female,F,2006,Montana,30,24
Brain and Other Nervous System,31010-31040,Female,F,2006,Nebraska,31,57
Brain and Other Nervous System,31010-31040,Female,F,2006,Nevada,32,68
Brain and Other Nervous System,31010-31040,Female,F,2006,New Hampshire,33,43
Brain and Other Nervous System,31010-31040,Female,F,2006,New Jersey,34,278
Brain and Other Nervous System,31010-31040,Female,F,2006,New Mexico,35,46
Brain and Other Nervous System,31010-31040,Female,F,2006,New York,36,601
Brain and Other Nervous System,31010-31040,Female,F,2006,North Carolina,37,323
Brain and Other Nervous System,31010-31040,Female,F,2006,Ohio,39,415
Brain and Other Nervous System,31010-31040,Female,F,2006,Oklahoma,40,129
Brain and Other Nervous System,31010-31040,Female,F,2006,Oregon,41,140
Brain and Other Nervous System,31010-31040,Female,F,2006,Pennsylvania,42,466
Brain and Other Nervous System,31010-31040,Female,F,2006,Rhode Island,44,35
Brain and Other Nervous System,31010-31040,Female,F,2006,South Carolina,45,156
Brain and Other Nervous System,31010-31040,Female,F,2006,South Dakota,46,26
Brain and Other Nervous System,31010-31040,Female,F,2006,Tennessee,47,198
Brain and Other Nervous System,31010-31040,Female,F,2006,Texas,48,698
Brain and Other Nervous System,31010-31040,Female,F,2006,Utah,49,66
Brain and Other Nervous System,31010-31040,Female,F,2006,Vermont,50,35
Brain and Other Nervous System,31010-31040,Female,F,2006,Virginia,51,209
Brain and Other Nervous System,31010-31040,Female,F,2006,Washington,53,187
Brain and Other Nervous System,31010-31040,Female,F,2006,West Virginia,54,65
Brain and Other Nervous System,31010-31040,Female,F,2006,Wisconsin,55,197
Brain and Other Nervous System,31010-31040,Female,F,2006,Wyoming,56,16
Brain and Other Nervous System,31010-31040,Female,F,2007,Alabama,1,146
Brain and Other Nervous System,31010-31040,Female,F,2007,Alaska,2,25
Brain and Other Nervous System,31010-31040,Female,F,2007,Arizona,4,188
Brain and Other Nervous System,31010-31040,Female,F,2007,Arkansas,5,116
Brain and Other Nervous System,31010-31040,Female,F,2007,California,6,975
Brain and Other Nervous System,31010-31040,Female,F,2007,Colorado,8,133
Brain and Other Nervous System,31010-31040,Female,F,2007,Connecticut,9,115
Brain and Other Nervous System,31010-31040,Female,F,2007,Delaware,10,30
Brain and Other Nervous System,31010-31040,Female,F,2007,Florida,12,644
Brain and Other Nervous System,31010-31040,Female,F,2007,Georgia,13,276
Brain and Other Nervous System,31010-31040,Female,F,2007,Hawaii,15,23
Brain and Other Nervous System,31010-31040,Female,F,2007,Idaho,16,59
